ts,server,online,count
1781469820,AltarExtra,1,45
1781469941,AltarExtra,1,45
1781470061,AltarExtra,1,44
1781470181,AltarExtra,1,41
1781470302,AltarExtra,1,42
1781470422,AltarExtra,1,44
1781470543,AltarExtra,1,43
1781470663,AltarExtra,1,47
1781470784,AltarExtra,1,47
1781470904,AltarExtra,1,47
1781471024,AltarExtra,1,47
1781471145,AltarExtra,1,45
1781471265,AltarExtra,1,42
1781471386,AltarExtra,1,41
1781471506,AltarExtra,1,39
1781471626,AltarExtra,1,38
1781471747,AltarExtra,1,38
1781471867,AltarExtra,1,36
1781471988,AltarExtra,1,37
1781472108,AltarExtra,1,38
1781472228,AltarExtra,1,37
1781472349,AltarExtra,1,38
1781472469,AltarExtra,1,36
1781472590,AltarExtra,1,37
1781472710,AltarExtra,1,36
1781472830,AltarExtra,1,34
1781472951,AltarExtra,1,33
1781473071,AltarExtra,1,34
1781473191,AltarExtra,1,36
1781473312,AltarExtra,1,34
1781473340,AltarExtra,1,33
1781473432,AltarExtra,1,37
1781473553,AltarExtra,1,38
1781473673,AltarExtra,1,37
1781473793,AltarExtra,1,35
1781473914,AltarExtra,1,35
1781474034,AltarExtra,1,35
1781474155,AltarExtra,1,35
1781474275,AltarExtra,1,36
1781474395,AltarExtra,1,38
1781474516,AltarExtra,1,39
1781474636,AltarExtra,1,39
1781474757,AltarExtra,1,40
1781474877,AltarExtra,1,38
1781474997,AltarExtra,1,37
1781475118,AltarExtra,1,38
1781475238,AltarExtra,1,37
1781475358,AltarExtra,1,36
1781475479,AltarExtra,1,37
1781475599,AltarExtra,1,38
1781475720,AltarExtra,1,38
1781475840,AltarExtra,1,39
1781475960,AltarExtra,1,35
1781476081,AltarExtra,1,32
1781476201,AltarExtra,1,32
1781476322,AltarExtra,1,32
1781476442,AltarExtra,1,34
1781476563,AltarExtra,1,35
1781476683,AltarExtra,1,34
1781476803,AltarExtra,1,34
1781476924,AltarExtra,1,36
1781477044,AltarExtra,1,33
1781477164,AltarExtra,1,32
1781477285,AltarExtra,1,33
1781477405,AltarExtra,1,35
1781477525,AltarExtra,1,36
1781477646,AltarExtra,1,36
1781477686,AltarExtra,1,36
1781477766,AltarExtra,1,31
1781477887,AltarExtra,1,32
1781478007,AltarExtra,1,33
1781478128,AltarExtra,1,33
1781478248,AltarExtra,1,32
1781478368,AltarExtra,1,32
1781478489,AltarExtra,1,31
1781478609,AltarExtra,1,30
1781478729,AltarExtra,1,30
1781478850,AltarExtra,1,29
1781478970,AltarExtra,1,30
1781479091,AltarExtra,1,28
1781479211,AltarExtra,1,28
1781479331,AltarExtra,1,29
1781479452,AltarExtra,1,28
1781479572,AltarExtra,1,27
1781479692,AltarExtra,1,26
1781479813,AltarExtra,1,24
1781479933,AltarExtra,1,23
1781480053,AltarExtra,1,22
1781480174,AltarExtra,1,23
1781480294,AltarExtra,1,20
1781480414,AltarExtra,1,21
1781480535,AltarExtra,1,21
1781480655,AltarExtra,1,22
1781480776,AltarExtra,1,20
1781480896,AltarExtra,1,18
1781481016,AltarExtra,1,16
1781481137,AltarExtra,1,15
1781481257,AltarExtra,1,15
1781481378,AltarExtra,1,15
1781481498,AltarExtra,1,18
1781481618,AltarExtra,1,18
1781481739,AltarExtra,1,17
1781481859,AltarExtra,1,16
1781481980,AltarExtra,1,14
1781482100,AltarExtra,1,17
1781482220,AltarExtra,1,21
1781482340,AltarExtra,1,22
1781482461,AltarExtra,1,23
1781482581,AltarExtra,1,24
1781482635,AltarExtra,1,22
1781482702,AltarExtra,1,22
1781482822,AltarExtra,1,21
1781482942,AltarExtra,1,21
1781483063,AltarExtra,1,21
1781483183,AltarExtra,1,21
1781483304,AltarExtra,1,21
1781483424,AltarExtra,1,21
1781483544,AltarExtra,1,23
1781483665,AltarExtra,1,23
1781483785,AltarExtra,1,24
1781483906,AltarExtra,1,23
1781484026,AltarExtra,1,25
1781484146,AltarExtra,1,26
1781484267,AltarExtra,1,28
1781484387,AltarExtra,1,30
1781484508,AltarExtra,1,30
1781484628,AltarExtra,1,29
1781484748,AltarExtra,1,28
1781484869,AltarExtra,1,25
1781484989,AltarExtra,1,24
1781485109,AltarExtra,1,24
1781485230,AltarExtra,1,23
1781485350,AltarExtra,1,23
1781485470,AltarExtra,1,23
1781485591,AltarExtra,1,22
1781485711,AltarExtra,1,23
1781485759,AltarExtra,1,24
1781485831,AltarExtra,1,24
1781485952,AltarExtra,1,24
1781486060,AltarExtra,1,22
1781486072,AltarExtra,1,22
1781486173,AltarExtra,1,22
1781486193,AltarExtra,1,23
1781486291,AltarExtra,1,22
1781486531,AltarExtra,1,23
1781486655,AltarExtra,1,24
1781486772,AltarExtra,1,25
1781486896,AltarExtra,1,24
1781487020,AltarExtra,1,24
1781487135,AltarExtra,1,25
1781487255,AltarExtra,1,25
1781487372,AltarExtra,1,24
1781487498,AltarExtra,1,27
1781487617,AltarExtra,1,28
1781487731,AltarExtra,1,27
1781487858,AltarExtra,1,27
1781487978,AltarExtra,1,26
1781488100,AltarExtra,1,27
1781488225,AltarExtra,1,25
1781488334,AltarExtra,1,24
1781488453,AltarExtra,1,27
1781488572,AltarExtra,1,25
1781488698,AltarExtra,1,25
1781488821,AltarExtra,1,27
1781488933,AltarExtra,1,28
1781489052,AltarExtra,1,24
1781489178,AltarExtra,1,26
1781489292,AltarExtra,1,21
1781489420,AltarExtra,1,19
1781489532,AltarExtra,1,19
1781489654,AltarExtra,1,20
1781489777,AltarExtra,1,19
1781489896,AltarExtra,1,18
1781490024,AltarExtra,1,18
1781490133,AltarExtra,1,18
1781490260,AltarExtra,1,19
1781490378,AltarExtra,1,19
1781490493,AltarExtra,1,19
1781490625,AltarExtra,1,18
1781490734,AltarExtra,1,16
1781490860,AltarExtra,1,18
1781490978,AltarExtra,1,19
1781491097,AltarExtra,1,19
1781491218,AltarExtra,1,20
1781491338,AltarExtra,1,20
1781491460,AltarExtra,1,19
1781491576,AltarExtra,1,18
1781491697,AltarExtra,1,17
1781491818,AltarExtra,1,17
1781491931,AltarExtra,1,17
1781492053,AltarExtra,1,17
1781492175,AltarExtra,1,18
1781492300,AltarExtra,1,18
1781492422,AltarExtra,1,18
1781492535,AltarExtra,1,17
1781492654,AltarExtra,1,16
1781492775,AltarExtra,1,16
1781492892,AltarExtra,1,16
1781493022,AltarExtra,1,15
1781493139,AltarExtra,1,15
1781493254,AltarExtra,1,18
1781493373,AltarExtra,1,18
1781493500,AltarExtra,1,17
1781493622,AltarExtra,1,16
1781493736,AltarExtra,1,15
1781493854,AltarExtra,1,14
1781493974,AltarExtra,1,14
1781494095,AltarExtra,1,14
1781494226,AltarExtra,1,15
1781494334,AltarExtra,1,16
1781494459,AltarExtra,1,16
1781494578,AltarExtra,1,14
1781494693,AltarExtra,1,14
1781494819,AltarExtra,1,14
1781494938,AltarExtra,1,17
1781495060,AltarExtra,1,17
1781495173,AltarExtra,1,18
1781495294,AltarExtra,1,24
1781495417,AltarExtra,1,20
1781495534,AltarExtra,1,23
1781495652,AltarExtra,1,23
1781495773,AltarExtra,1,24
1781495897,AltarExtra,1,25
1781496023,AltarExtra,1,24
1781496135,AltarExtra,1,23
1781496264,AltarExtra,1,22
1781496378,AltarExtra,1,21
1781496499,AltarExtra,1,20
1781496620,AltarExtra,1,19
1781496733,AltarExtra,1,20
1781496858,AltarExtra,1,20
1781496980,AltarExtra,1,20
1781497094,AltarExtra,1,20
1781497218,AltarExtra,1,20
1781497335,AltarExtra,1,20
1781497458,AltarExtra,1,20
1781497579,AltarExtra,1,20
1781497694,AltarExtra,1,20
1781497824,AltarExtra,1,20
1781497936,AltarExtra,1,20
1781498052,AltarExtra,1,21
1781498180,AltarExtra,1,20
1781498299,AltarExtra,1,20
1781498417,AltarExtra,1,22
1781498534,AltarExtra,1,20
1781498661,AltarExtra,1,22
1781498775,AltarExtra,1,21
1781498898,AltarExtra,1,18
1781499020,AltarExtra,1,18
1781499138,AltarExtra,1,17
1781499256,AltarExtra,1,18
1781499379,AltarExtra,1,19
1781499492,AltarExtra,1,17
1781499625,AltarExtra,1,19
1781499732,AltarExtra,1,21
1781499853,AltarExtra,1,19
1781499973,AltarExtra,1,17
1781500093,AltarExtra,1,18
1781500225,AltarExtra,1,20
1781500332,AltarExtra,1,20
1781500458,AltarExtra,1,21
1781500579,AltarExtra,1,21
1781500698,AltarExtra,1,20
1781500827,AltarExtra,1,20
1781500935,AltarExtra,1,21
1781501053,AltarExtra,1,19
1781501172,AltarExtra,1,17
1781501293,AltarExtra,1,16
1781501421,AltarExtra,1,15
1781501515,AltarExtra,1,13
1781501534,AltarExtra,1,13
1781501652,AltarExtra,1,12
1781501775,AltarExtra,1,11
1781501893,AltarExtra,1,12
1781502019,AltarExtra,1,12
1781502139,AltarExtra,1,12
1781502251,AltarExtra,1,13
1781502378,AltarExtra,1,12
1781502493,AltarExtra,1,12
1781502624,AltarExtra,1,12
1781502738,AltarExtra,1,11
1781502855,AltarExtra,1,12
1781502982,AltarExtra,1,11
1781503093,AltarExtra,1,10
1781503225,AltarExtra,1,12
1781503332,AltarExtra,1,12
1781503453,AltarExtra,1,12
1781503576,AltarExtra,1,16
1781503693,AltarExtra,1,17
1781503818,AltarExtra,1,16
1781503939,AltarExtra,1,17
1781504055,AltarExtra,1,16
1781504178,AltarExtra,1,16
1781504294,AltarExtra,1,16
1781504426,AltarExtra,1,16
1781504532,AltarExtra,1,16
1781504653,AltarExtra,1,15
1781504773,AltarExtra,1,14
1781504898,AltarExtra,1,17
1781505022,AltarExtra,1,18
1781505134,AltarExtra,1,17
1781505255,AltarExtra,1,16
1781505374,AltarExtra,1,16
1781505498,AltarExtra,1,16
1781505618,AltarExtra,1,18
1781505742,AltarExtra,1,17
1781505853,AltarExtra,1,18
1781505981,AltarExtra,1,17
1781506096,AltarExtra,1,14
1781506218,AltarExtra,1,13
1781506333,AltarExtra,1,18
1781506463,AltarExtra,1,18
1781506574,AltarExtra,1,18
1781506693,AltarExtra,1,12
1781506823,AltarExtra,1,12
1781506933,AltarExtra,1,11
1781507055,AltarExtra,1,12
1781507182,AltarExtra,1,13
1781507302,AltarExtra,1,13
1781507421,AltarExtra,1,11
1781507539,AltarExtra,1,10
1781507662,AltarExtra,1,10
1781507787,AltarExtra,1,10
1781507900,AltarExtra,1,12
1781508023,AltarExtra,1,12
1781508139,AltarExtra,1,12
1781508259,AltarExtra,1,13
1781508373,AltarExtra,1,14
1781508492,AltarExtra,1,14
1781508626,AltarExtra,1,13
1781508739,AltarExtra,1,16
1781508862,AltarExtra,1,13
1781508980,AltarExtra,1,12
1781509093,AltarExtra,1,12
1781509218,AltarExtra,1,12
1781509333,AltarExtra,1,12
1781509460,AltarExtra,1,11
1781509575,AltarExtra,1,11
1781509692,AltarExtra,1,11
1781509820,AltarExtra,1,13
1781509935,AltarExtra,1,12
1781510063,AltarExtra,1,11
1781510179,AltarExtra,1,12
1781510297,AltarExtra,1,11
1781510425,AltarExtra,1,12
1781510534,AltarExtra,1,12
1781510654,AltarExtra,1,13
1781510779,AltarExtra,1,15
1781510898,AltarExtra,1,15
1781511018,AltarExtra,1,15
1781511132,AltarExtra,1,16
1781511253,AltarExtra,1,15
1781511379,AltarExtra,1,14
1781511499,AltarExtra,1,14
1781511617,AltarExtra,1,17
1781511735,AltarExtra,1,19
1781511859,AltarExtra,1,18
1781511981,AltarExtra,1,18
1781512096,AltarExtra,1,18
1781512225,AltarExtra,1,17
1781512341,AltarExtra,1,17
1781512460,AltarExtra,1,17
1781512574,AltarExtra,1,17
1781512700,AltarExtra,1,18
1781512820,AltarExtra,1,19
1781512936,AltarExtra,1,19
1781513180,AltarExtra,1,19
1781513298,AltarExtra,1,22
1781513424,AltarExtra,1,23
1781513541,AltarExtra,1,22
1781513657,AltarExtra,1,24
1781513773,AltarExtra,1,25
1781513900,AltarExtra,1,24
1781514022,AltarExtra,1,24
1781514135,AltarExtra,1,24
1781514268,AltarExtra,1,25
1781514379,AltarExtra,1,25
1781514493,AltarExtra,1,28
1781514620,AltarExtra,1,27
1781514734,AltarExtra,1,26
1781514855,AltarExtra,1,24
1781514980,AltarExtra,1,26
1781515093,AltarExtra,1,25
1781515220,AltarExtra,1,26
1781515345,AltarExtra,1,27
1781515454,AltarExtra,1,27
1781515580,AltarExtra,1,27
1781515693,AltarExtra,1,25
1781515823,AltarExtra,1,26
1781515935,AltarExtra,1,25
1781516061,AltarExtra,1,26
1781516179,AltarExtra,1,23
1781516297,AltarExtra,1,23
1781516418,AltarExtra,1,23
1781516539,AltarExtra,1,21
1781516656,AltarExtra,1,20
1781516782,AltarExtra,1,21
1781516896,AltarExtra,1,16
1781517022,AltarExtra,1,16
1781517139,AltarExtra,1,16
1781517256,AltarExtra,1,16
1781517375,AltarExtra,1,17
1781517495,AltarExtra,1,17
1781517627,AltarExtra,1,17
1781517740,AltarExtra,1,21
1781517855,AltarExtra,1,20
1781517977,AltarExtra,1,22
1781518102,AltarExtra,1,23
1781518227,AltarExtra,1,23
1781518342,AltarExtra,1,24
1781518455,AltarExtra,1,24
1781518574,AltarExtra,1,24
1781518701,AltarExtra,1,24
1781518826,AltarExtra,1,24
1781518935,AltarExtra,1,23
1781519054,AltarExtra,1,22
1781519175,AltarExtra,1,23
1781519296,AltarExtra,1,23
1781519422,AltarExtra,1,22
1781519533,AltarExtra,1,23
1781519659,AltarExtra,1,24
1781519782,AltarExtra,1,22
1781519893,AltarExtra,1,21
1781520020,AltarExtra,1,22
1781520133,AltarExtra,1,22
1781520260,AltarExtra,1,22
1781520377,AltarExtra,1,23
1781520503,AltarExtra,1,23
1781520621,AltarExtra,1,24
1781520739,AltarExtra,1,19
1781520860,AltarExtra,1,22
1781520976,AltarExtra,1,23
1781521099,AltarExtra,1,20
1781521228,AltarExtra,1,22
1781521335,AltarExtra,1,25
1781521462,AltarExtra,1,23
1781521572,AltarExtra,1,22
1781521694,AltarExtra,1,23
1781521826,AltarExtra,1,21
1781521942,AltarExtra,1,20
1781522054,AltarExtra,1,19
1781522183,AltarExtra,1,19
1781522297,AltarExtra,1,20
1781522424,AltarExtra,1,19
1781522532,AltarExtra,1,19
1781522654,AltarExtra,1,18
1781522773,AltarExtra,1,18
1781522893,AltarExtra,1,18
1781523023,AltarExtra,1,20
